id,first_name,last_name,email,gender,date,product,price,quantity,Total
990.0,Halsey,Andreone,handreone0@printfriendly.com,Agender,2021-10-09,Pickles - Gherkins,18.9,4,75.6
991.0,Web,Fountaine,wfountaine1@twitpic.com,Agender,2021-10-09,Milkettes - 2%,6.0,3,18.0
992.0,Pepe,Skoggins,pskoggins2@diigo.com,Female,2021-10-07,Wine - Red Oakridge Merlot,13.9,2,27.8
993.0,Goldie,Chevis,gchevis3@hatena.ne.jp,Genderfluid,2021-10-04,"Bar Mix - Pina Colada, 355 Ml",8.5,1,8.5
994.0,Joli,Matuszewski,jmatuszewski4@4shared.com,Non-binary,2021-10-07,"Veal - Tenderloin, Untrimmed",19.4,5,97.0
995.0,Crysta,Wybern,cwybern5@eventbrite.com,Female,2021-11-05,Vinegar - Tarragon,1.8,5,9.0
996.0,Evyn,Mulrean,emulrean6@sohu.com,Non-binary,2021-11-04,Ice Cream - Strawberry,4.1,3,12.299999999999999
997.0,Edgard,Kingdon,ekingdon7@soup.io,Bigender,2021-10-07,Sauce - Marinara,8.1,3,24.299999999999997
998.0,Thoma,Casburn,tcasburn8@nyu.edu,Bigender,2021-10-08,Cranberries - Frozen,5.8,4,23.2
999.0,Gwynne,Chiene,gchiene9@google.ru,Male,2021-10-09,Garbage Bag - Clear,19.3,1,19.3
1000.0,Nellie,MacDermand,nmacdermanda@accuweather.com,Polygender,2021-10-07,Black Currants,9.1,5,45.5
